Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,Amount
Client   0,0.00,0.00,0.500,0.00,0.00,0.500,0.00,0.00,0.00,0.00,3332
Client   1,0.00,0.00,0.002,0.498,0.00,0.00,0.00,0.00,0.00,0.500,3332
Client   2,0.00,0.00,0.00,0.00,0.00,0.004,0.996,0.00,0.00,0.00,3332
Client   3,0.00,0.00,0.00,0.00,0.00,0.00,0.500,0.00,0.500,0.00,3332
Client   4,0.00,0.00,0.00,0.00,0.00,0.00,0.004,0.496,0.00,0.500,3332
Client   5,0.00,0.00,0.00,0.500,0.00,0.00,0.00,0.00,0.005,0.495,3332
Client   6,0.001,0.499,0.00,0.002,0.498,0.00,0.00,0.00,0.00,0.00,3332
Client   7,0.00,0.00,0.00,0.00,0.500,0.00,0.00,0.005,0.495,0.00,3332
Client   8,0.00,0.00,0.500,0.00,0.003,0.497,0.00,0.00,0.00,0.00,3332
Client   9,0.500,0.00,0.00,0.00,0.00,0.00,0.00,0.500,0.00,0.00,3332
Client  10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.500,0.500,0.00,3332
Client  11,0.00,0.501,0.499,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3332
Client  12,0.500,0.500,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3332
Client  13,0.00,0.00,0.00,0.500,0.500,0.00,0.00,0.00,0.00,0.00,3332
Client  14,0.500,0.00,0.00,0.00,0.00,0.500,0.00,0.00,0.00,0.00,3332
